screenshot_title,activity,hearts,light_lvl,in_hand_item,target_mob,decision_activity,decision_hearts,decision_light,decision_mob
archering (101).png,archery,20,low,bow,zombie,give_resistance,,palce_light_source,take_sword
archering (104).png,archery,2,high,bow,skeleton,give_resistance,give_regeneration_4,,
archering (113).png,archery,20,low,bow,zombie,give_resistance,,,take_sword
archering (115).png,archery,6,high,bow,spider,give_resistance,give_regeneration_3,,take_sword
archering (121).png,archery,20,low,bow,zombie,give_resistance,,palce_light_source,take_sword
archering (133).png,archery,20,low,bow,zombie,give_resistance,,palce_light_source,take_sword
archering (134).png,archery,8,mid,bow,zombie,give_resistance,give_regeneration_3,palce_light_source,take_sword
archering (137).png,archery,6,high,bow,spider,give_resistance,give_regeneration_3,,take_sword
archering (14).png,archery,20,high,bow,creeper,give_resistance,,,go_back
archering (142).png,archery,9,high,bow,no_mob,give_resistance,give_regeneration_3,,
archering (146).png,archery,2,high,bow,zombie,give_resistance,give_regeneration_4,,take_sword
archering (147).png,archery,6,high,bow,spider,give_resistance,give_regeneration_3,,take_sword
archering (150).png,archery,3,high,bow,zombie,give_resistance,give_regeneration_4,,take_sword
archering (152).png,archery,3,high,bow,zombie,give_resistance,give_regeneration_4,,take_sword
archering (1551).png,archery,20,low,crossbow,zombie,give_resistance,,palce_light_source,take_sword
archering (1563).png,archery,20,low,crossbow,skeleton,give_resistance,,palce_light_source,
archering (1588).png,archery,6,high,bow,no_mob,give_resistance,give_regeneration_3,,
archering (159).png,archery,6,high,bow,no_mob,give_resistance,give_regeneration_1,,
archering (1591).png,archery,20,low,bow,creeper,give_resistance,,palce_light_source,go_back
archering (1593).png,archery,20,low,bow,skeleton,give_resistance,,palce_light_source,
archering (1603).png,archery,20,high,bow,no_mob,give_resistance,,,
archering (1604).png,archery,6,high,bow,spider,give_resistance,give_regeneration_3,,take_sword
archering (1605).png,archery,20,mid,bow,other,give_resistance,,,
archering (1606).png,archery,6,high,bow,spider,give_resistance,give_regeneration_3,,take_sword
archering (1614).png,archery,6,high,bow,spider,give_resistance,give_regeneration_3,,take_sword
archering (1624).png,archery,6,high,bow,spider,give_resistance,give_regeneration_3,,take_sword
archering (1629).png,archery,20,high,bow,no_mob,give_resistance,,,
archering (1634).png,archery,6,high,bow,spider,give_resistance,give_regeneration_3,,take_sword
archering (1636).png,archery,6,high,bow,spider,give_resistance,give_regeneration_3,,take_sword
archering (1637).png,archery,20,mid,bow,no_mob,give_resistance,,palce_light_source,
archering (1640).png,archery,20,mid,bow,other,give_resistance,,palce_light_source,
archering (1643).png,archery,20,low,bow,spider,give_resistance,,palce_light_source,take_sword
archering (1647).png,archery,20,low,crossbow,other,give_resistance,,palce_light_source,
archering (1653).png,archery,20,high,bow,no_mob,give_resistance,,,
archering (1657).png,archery,20,high,bow,other,give_resistance,,,
archering (1660).png,archery,20,mid,bow,other,give_resistance,,palce_light_source,
archering (1663).png,archery,15,high,bow,ender,give_resistance,give_regeneration_1,,
archering (1667).png,archery,13,mid,bow,no_mob,give_resistance,give_regeneration_2,palce_light_source,
archering (1674).png,archery,20,mid,bow,ender,give_resistance,,palce_light_source,
archering (1677).png,archery,11,high,bow,other,give_resistance,give_regeneration_2,,
archering (1681).png,archery,11,high,bow,no_mob,give_resistance,give_regeneration_2,,
archering (1685).png,archery,11,high,bow,other,give_resistance,give_regeneration_2,,
archering (1686).png,archery,20,mid,bow,other,give_resistance,,palce_light_source,
archering (1690).png,archery,15,high,bow,other,give_resistance,give_regeneration_1,,
archering (171).png,archery,6,high,bow,spider,give_resistance,give_regeneration_3,,take_sword
archering (1715).png,archery,11,high,bow,other,give_resistance,give_regeneration_2,,
archering (172).png,archery,4,high,bow,zombie,give_resistance,give_regeneration_3,,take_sword
archering (1721).png,archery,11,low,bow,skeleton,give_resistance,give_regeneration_2,palce_light_source,
archering (1747).png,archery,11,low,bow,spider,give_resistance,give_regeneration_2,palce_light_source,take_sword
archering (175).png,archery,6,high,bow,spider,give_resistance,give_regeneration_3,,take_sword
archering (1759).png,archery,11,low,bow,other,give_resistance,give_regeneration_2,palce_light_source,
archering (1760).png,archery,15,high,bow,other,give_resistance,give_regeneration_1,,
archering (1770).png,archery,4,high,bow,other,give_resistance,give_regeneration_4,,
archering (1778).png,archery,4,high,bow,other,give_resistance,give_regeneration_4,,
archering (1779).png,archery,11,low,bow,ender,give_resistance,give_regeneration_2,palce_light_source,take_sword
archering (1782).png,archery,4,high,bow,other,give_resistance,give_regeneration_4,,
archering (1783).png,archery,11,low,bow,creeper,give_resistance,give_regeneration_2,palce_light_source,go_back
archering (1784).png,archery,4,,bow,other,give_resistance,give_regeneration_4,,
archering (1793).png,archery,13,low,bow,no_mob,give_resistance,give_regeneration_2,palce_light_source,
archering (1801).png,archery,13,high,bow,zombie,give_resistance,give_regeneration_2,,take_sword
archering (1806).png,archery,4,high,bow,other,give_resistance,give_regeneration_4,,
archering (1808).png,archery,4,high,bow,other,give_resistance,give_regeneration_4,,
archering (1809).png,archery,13,high,bow,no_mob,give_resistance,give_regeneration_2,,
archering (1811).png,archery,13,high,bow,no_mob,give_resistance,give_regeneration_2,,
archering (1812).png,archery,4,high,bow,other,give_resistance,give_regeneration_4,,
archering (1813).png,archery,13,high,bow,no_mob,give_resistance,give_regeneration_2,,
archering (1823).png,archery,16,low,bow,zombie,give_resistance,give_regeneration_1,palce_light_source,take_sword
archering (1824).png,archery,4,high,bow,other,give_resistance,give_regeneration_4,,
archering (1826).png,archery,4,high,bow,other,give_resistance,give_regeneration_4,,
archering (1828).png,archery,4,high,bow,other,give_resistance,give_regeneration_4,,
archering (1829).png,archery,20,low,crossbow,zombie,give_resistance,,palce_light_source,take_sword
archering (1846).png,archery,4,high,bow,other,give_resistance,give_regeneration_4,,
archering (1847).png,archery,20,low,crossbow,zombie,give_resistance,,palce_light_source,take_sword
archering (1857).png,archery,20,high,bow,other,give_resistance,,,
archering (1860).png,archery,4,high,bow,other,give_resistance,give_regeneration_4,,
archering (1863).png,archery,14,high,bow,zombie,give_resistance,give_regeneration_2,,take_sword
archering (1866).png,archery,4,high,bow,other,give_resistance,give_regeneration_4,,
archering (1872).png,archery,4,high,bow,other,give_resistance,give_regeneration_4,,
archering (1881).png,archery,16,high,bow,zombie,give_resistance,give_regeneration_1,,take_sword
archering (1882).png,archery,4,high,bow,other,give_resistance,give_regeneration_4,,
archering (1891).png,archery,15,high,bow,zombie,give_resistance,give_regeneration_1,,take_sword
archering (1896).png,archery,4,high,bow,other,give_resistance,give_regeneration_4,,
archering (1897).png,archery,11,low,bow,spider,give_resistance,give_regeneration_2,palce_light_source,take_sword
archering (1917).png,archery,20,low,crossbow,ender,give_resistance,,palce_light_source,take_sword
archering (1918).png,archery,4,high,bow,other,give_resistance,give_regeneration_4,,
archering (1947).png,archery,20,mid,crossbow,ender,give_resistance,,palce_light_source,take_sword
archering (1950).png,archery,4,high,bow,other,give_resistance,give_regeneration_4,,
archering (1953).png,archery,20,mid,bow,ender,give_resistance,,palce_light_source,take_sword
archering (1959).png,archery,20,low,crossbow,creeper,give_resistance,,palce_light_source,go_back
archering (1960).png,archery,4,high,bow,other,give_resistance,give_regeneration_4,,
archering (198).png,archery,9,high,bow,spider,give_resistance,give_regeneration_3,,take_sword
archering (204).png,archery,8,high,bow,spider,give_resistance,give_regeneration_3,,take_sword
archering (208).png,archery,11,high,bow,creeper,give_resistance,give_regeneration_2,,go_back
archering (2212).png,archery,20,high,bow,other,give_resistance,,,
archering (2250).png,archery,20,high,bow,other,give_resistance,,,
archering (2299).png,archery,20,high,bow,other,give_resistance,,,
archering (230).png,archery,14,mid,bow,skeleton,give_resistance,give_regeneration_2,place_light_source,
archering (2304).png,archery,20,high,bow,other,give_resistance,,,
archering (2308).png,archery,17,high,bow,other,give_resistance,give_regeneration_1,,
archering (233).png,archery,6,high,bow,spider,give_resistance,give_regeneration_3,,take_sword
